"","Company","date","GBR_NAME","x","y"
"1","BPM",2025-10-16,"Arlington Reef",146.05477905,-16.69470215
"2","BPM",2025-10-21,"Lagoon Reef",143.75706482,-12.38443565
"3","BPM",2025-09-05,"U/N Reef 21-551",152.0556488,-21.96060562
"4","BPM",2025-09-07,"Sykes Reef",143.55810547,-13.10892296
"5","BPM",2025-08-02,"Lamont Reef",152.0274353,-23.59870148
"6","BPM",2025-07-11,"One Tree Island Reef",152.06114197,-23.4956665
"7","BPM",2025-05-10,"Fitzroy Reef",152.14743042,-23.63306427
"8","BPM",2025-05-16,"One Tree Island Reef",152.06114197,-23.4956665
"9","BPM",2025-05-02,"Fitzroy Reef",152.14743042,-23.63306427
"10","BPM",2025-05-03,"Fitzroy Reef",152.14743042,-23.63306427
"11","BPM",2025-05-04,"Fitzroy Reef",152.14743042,-23.63306427
"12","BPM",2025-04-06,"Lady Musgrave Reef",152.38720703,-23.90178299
"13","BPM",2025-04-09,"Heron Reef",151.97113037,-23.44615173
"14","BPM",2025-04-10,"Fitzroy Reef",152.14743042,-23.63306427
"15","BPM",2025-04-11,"Fitzroy Reef",152.14743042,-23.63306427
"16","BPM",2025-03-26,"Bushy Island Reef",142.87251282,-11.2572403
"17","BPM",2025-03-15,"U/N Reef 16-016",145.73939514,-16.05511284
"18","BPM",2025-03-16,"Hastings Reef",146.00813293,-16.51843643
"19","BPM",2025-02-21,"Moore Reef",146.21296692,-16.87431526
"20","BPM",2025-02-24,"Cairns Reef",145.50866699,-15.67227173
"21","BPM",2025-02-25,"Cairns Reef",145.50866699,-15.67227173
"22","BPM",2025-02-26,"Day Reef",145.53677368,-14.49668884
"23","BPM",2025-02-27,"Day Reef",145.53677368,-14.49668884
"24","BPM",2025-02-28,"Low Island Reef",148.57978821,-20.14570808
"25","BPM",2025-02-10,"U/N Reef 14-133",145.51600647,-14.91681099
"26","BPM",2025-02-11,"South Direction Reef (North)",145.52357483,-14.82437229
"27","BPM",2025-02-12,"U/N Reef 14-149",145.61833191,-14.84252357
